"Review
Date",Rating,,,,,,,
2016,3.75,,,,,,,
2015,2.75,,,,,,,
2015,3,,,,,,,
2015,3.5,,,,,,,
2015,3.5,,,,,,,
2014,2.75,,,,,,,
2014,3.5,,,,,,,
2014,3.5,,,,,,,
2014,3.75,,,,,,,
2014,4,,,,,,,
2013,2.75,,,,,,,
2013,3,,,,,,,
2013,3.25,,,,,,,
2013,3.75,,,,,,,
2013,2.75,,,,,,,
2013,3,,,,,,,
2013,3.25,,,,,,,
2013,4,,,,,,,
2013,3.25,,,,,,,
2013,3.5,,,,,,,
2013,4,,,,,,,
2012,3.5,,,,,,,
2012,3.75,,,,,,,
2015,3.75,,,,,,,
2015,3.75,,,,,,,
2011,2.75,,,,,,,
2011,3.25,,,,,,,
2011,3.5,,,,,,,
2011,3.5,,,,,,,
2009,2.75,,,,,,,
2009,3,,,,,,,
2009,3,,,,,,,
2011,3.75,,,,,,,
2010,2.75,,,,,,,
2010,2.75,,,,,,,
2014,2.75,,,,,,,
2014,2.75,,,,,,,
2014,3,,,,,,,
2013,2.5,,,,,,,
2013,2.5,,,,,,,
2017,3.5,,,,,,,
2017,3.5,,,,,,,
2017,3.5,,,,,,,
2017,3.5,,,,,,,
2016,2.75,,,,,,,
2016,3,,,,,,,
2016,2.5,,,,,,,
2016,2.5,,,,,,,
2016,2.75,,,,,,,
2013,2.5,,,,,,,
2013,3,,,,,,,
2013,3.25,,,,,,,
2013,3,,,,,,,
2013,3.25,,,,,,,
2011,4,,,,,,,
2010,3.75,,,,,,,
2010,4,,,,,,,
2010,3,,,,,,,
2009,3,,,,,,,
2008,2.75,,,,,,,
2007,3.5,,,,,,,
2007,3,,,,,,,
2007,3.75,,,,,,,
2009,3,,,,,,,
2009,2.75,,,,,,,
2009,2.75,,,,,,,
2009,3,,,,,,,
2013,3.25,,,,,,,
2013,3.5,,,,,,,
2015,3,,,,,,,
2015,3.25,,,,,,,
2015,3.25,,,,,,,
2015,3.25,,,,,,,
2015,3.25,,,,,,,
2015,3.5,,,,,,,
2012,3.75,,,,,,,
2007,4,,,,,,,
2007,4,,,,,,,
2007,5,,,,,,,
2007,3,,,,,,,
2007,3,,,,,,,
2007,3.5,,,,,,,
2007,3.75,,,,,,,
2007,4,,,,,,,
2007,3.5,,,,,,,
2007,3.5,,,,,,,
2006,5,,,,,,,
2006,4,,,,,,,
2013,3.25,,,,,,,
2010,2.75,,,,,,,
2010,3.75,,,,,,,
2010,3.75,,,,,,,
2010,4,,,,,,,
2014,3,,,,,,,
2016,3.5,,,,,,,
2014,3,,,,,,,
2014,2.5,,,,,,,
2014,2.75,,,,,,,
2014,3,,,,,,,
2016,3.5,,,,,,,
2016,3.75,,,,,,,
2016,3.5,,,,,,,
2016,3.25,,,,,,,
2016,3.25,,,,,,,
2016,3.5,,,,,,,
2016,3.75,,,,,,,
2016,3.5,,,,,,,
2016,4,,,,,,,
2016,4,,,,,,,
2016,3.75,,,,,,,
2016,3.25,,,,,,,
2016,3.25,,,,,,,
2015,3.5,,,,,,,
2015,3.5,,,,,,,
2015,3.75,,,,,,,
2015,3.5,,,,,,,
2015,3.75,,,,,,,
2015,4,,,,,,,
2015,2.75,,,,,,,
2015,3.25,,,,,,,
2015,3.5,,,,,,,
2013,3.25,,,,,,,
2012,3.75,,,,,,,
2011,4,,,,,,,
2011,2.75,,,,,,,
2010,1.75,,,,,,,
2010,3.75,,,,,,,
2010,3.25,,,,,,,
2010,3.25,,,,,,,
2010,3.5,,,,,,,
2009,2.5,,,,,,,
