Date,Volume
1/1/2015,183415
1/2/2015,462870
1/5/2015,877121
1/6/2015,1211892
1/7/2015,1318166
1/8/2015,782704
1/9/2015,1598821
1/12/2015,798003
1/13/2015,734216
1/14/2015,893548
1/15/2015,2504960
1/16/2015,2646915
1/19/2015,567537
1/20/2015,1029283
1/21/2015,1155240
1/22/2015,1056607
1/23/2015,1575190
1/27/2015,1369368
1/28/2015,1560990
1/29/2015,1867196
1/30/2015,2908701
2/2/2015,1590901
2/3/2015,1172527
2/4/2015,1122709
2/5/2015,2265084
2/6/2015,1068208
2/9/2015,1038216
2/10/2015,1899527
2/11/2015,1468761
2/12/2015,1553990
2/13/2015,2079163
2/16/2015,1182196
2/18/2015,1330007
2/19/2015,1309001
2/20/2015,900794
2/23/2015,807446
2/24/2015,1099961
2/25/2015,883997
2/26/2015,995997
2/27/2015,1438688
2/28/2015,589498
3/2/2015,1088019
3/3/2015,1712154
3/4/2015,1931497
3/5/2015,1086757
3/9/2015,1441587
3/10/2015,1518526
3/11/2015,1120100
3/12/2015,913818
3/13/2015,793419
3/16/2015,778148
3/17/2015,633659
3/18/2015,627585
3/19/2015,1224482
3/20/2015,981954
3/23/2015,783304
3/24/2015,1197439
3/25/2015,1112429
3/26/2015,1545821
3/27/2015,1375888
3/30/2015,669503
3/31/2015,1213514
4/1/2015,1037879
4/6/2015,784271
4/7/2015,943461
4/8/2015,826067
4/9/2015,1272225
4/10/2015,907772
4/13/2015,654321
4/15/2015,1456967
4/16/2015,1608785
4/17/2015,4834371
4/20/2015,1445361
4/21/2015,1273016
4/22/2015,2093406
4/23/2015,2171495
4/24/2015,1812579
4/27/2015,1366526
4/28/2015,1544149
4/29/2015,1009810
4/30/2015,1869027
5/4/2015,945315
5/5/2015,1627535
5/6/2015,1697203
5/7/2015,1602514
5/8/2015,1501832
5/11/2015,1286541
5/12/2015,1233693
5/13/2015,931887
5/14/2015,654525
5/15/2015,730727
5/18/2015,2253876
5/19/2015,978861
5/20/2015,948907
5/21/2015,789789
5/22/2015,1345816
5/25/2015,491489
5/26/2015,980870
5/27/2015,810345
5/28/2015,1381804
5/29/2015,2211766
6/1/2015,441132
6/2/2015,1967910
6/3/2015,902342
6/4/2015,2065734
6/5/2015,1154267
6/8/2015,785160
6/9/2015,1289457
6/10/2015,1381675
6/11/2015,923668
6/12/2015,1285728
6/15/2015,1262588
6/16/2015,633698
6/17/2015,987860
6/18/2015,1082523
6/19/2015,999805
6/22/2015,551001
6/23/2015,449159
6/24/2015,585123
6/25/2015,965496
6/26/2015,645051
6/29/2015,686378
6/30/2015,774976
7/1/2015,639854
7/2/2015,722940
7/3/2015,481735
7/6/2015,591169
7/7/2015,821418
7/8/2015,1333925
7/9/2015,1967061
7/10/2015,4131827
7/13/2015,1140154
7/14/2015,851637
7/15/2015,1001830
7/16/2015,728304
7/17/2015,535263
7/20/2015,426893
7/21/2015,637250
7/22/2015,660314
7/23/2015,748390
7/24/2015,787486
7/27/2015,1001869
7/28/2015,945594
7/29/2015,1206659
7/30/2015,1385287
7/31/2015,981888
8/3/2015,589662
8/4/2015,1171346
8/5/2015,494497
8/6/2015,1105683
8/7/2015,594253
8/10/2015,715591
8/11/2015,1100153
8/12/2015,1739892
8/13/2015,703213
8/14/2015,1146982
8/17/2015,386822
8/18/2015,958463
8/19/2015,845035
8/20/2015,1174649
8/21/2015,1768040
8/24/2015,2346172
8/25/2015,1962900
8/26/2015,1608079
8/27/2015,2632399
8/28/2015,1372076
8/31/2015,1846022
9/1/2015,1493801
9/2/2015,1882975
9/3/2015,1132537
9/4/2015,1213198
9/7/2015,879592
9/8/2015,893873
9/9/2015,1022538
9/10/2015,1332909
9/11/2015,796336
9/14/2015,794659
9/15/2015,689950
9/16/2015,878408
9/18/2015,1227647
9/21/2015,554420
9/22/2015,1040623
9/23/2015,614176
9/24/2015,1177127
9/28/2015,1183406
9/29/2015,1662976
9/30/2015,1684168
10/1/2015,1417204
10/5/2015,2403653
10/6/2015,1989795
10/7/2015,1032765
10/8/2015,1178775
10/9/2015,1124862
10/12/2015,1227956
10/13/2015,3089856
10/14/2015,4168564
10/15/2015,1607855
10/16/2015,1166914
10/19/2015,1565321
10/20/2015,1347542
10/21/2015,964844
10/23/2015,1167699
10/26/2015,707315
10/27/2015,765210
10/28/2015,627671
10/29/2015,1565158
10/30/2015,758348
11/2/2015,659647
11/3/2015,682453
11/4/2015,495717
11/5/2015,798049
11/6/2015,454012
11/9/2015,1010778
11/10/2015,680960
11/11/2015,67582
11/13/2015,1371616
11/16/2015,1021764
11/17/2015,992514
11/18/2015,760176
11/19/2015,933453
11/20/2015,1006063
11/23/2015,544041
11/24/2015,499320
11/26/2015,1457646
11/27/2015,868603
11/30/2015,2050024
12/1/2015,860997
12/2/2015,820148
12/3/2015,1141679
12/4/2015,623046
12/7/2015,691302
12/8/2015,569982
12/9/2015,2641403
12/10/2015,861994
12/11/2015,826189
12/14/2015,1359266
12/15/2015,567934
12/16/2015,717967
12/17/2015,809422
12/18/2015,1512485
12/21/2015,805052
12/22/2015,780429
12/23/2015,424917
12/24/2015,421580
12/28/2015,1852099
12/29/2015,854262
12/30/2015,802881
12/31/2015,620159
